Global_active_power,Global_intensity,Global_reactive_power,Sub_metering_1,Sub_metering_2,Voltage
0.244,1.000,0.000,0.000,0.0,242.170
0.244,1.000,0.000,0.000,0.0,241.770
0.242,1.000,0.000,0.000,0.0,241.600
0.334,1.600,0.054,0.000,0.0,241.810
0.354,1.600,0.094,0.000,0.0,242.090
0.350,1.400,0.094,0.000,0.0,241.770
0.350,1.400,0.096,0.000,0.0,242.650
0.348,1.400,0.098,0.000,0.0,242.710
0.346,1.400,0.098,0.000,0.0,242.900
0.344,1.400,0.096,0.000,0.0,242.350
0.344,1.400,0.096,0.000,0.0,242.470
0.344,1.400,0.098,0.000,0.0,243.140
0.344,1.400,0.102,0.000,0.0,243.710
0.334,1.400,0.112,0.000,0.0,244.300
0.954,5.600,0.318,0.000,0.0,243.660
1.368,7.000,0.404,0.000,0.0,242.850
1.996,8.800,0.548,0.000,0.0,241.260
1.946,8.600,0.522,0.000,0.0,241.330
1.840,8.000,0.408,0.000,0.0,242.280
1.804,7.800,0.376,0.000,0.0,241.680
1.778,7.800,0.362,0.000,0.0,241.770
1.364,6.600,0.292,0.000,0.0,242.600
0.298,1.200,0.094,0.000,0.0,244.090
0.296,1.200,0.092,0.000,0.0,243.870
0.230,1.000,0.000,0.000,0.0,244.210
0.222,1.000,0.000,0.000,0.0,243.650
0.224,1.000,0.000,0.000,0.0,244.000
0.226,1.000,0.000,0.000,0.0,244.430
0.228,1.000,0.000,0.000,0.0,244.940
0.228,1.000,0.000,0.000,0.0,245.110
0.230,1.000,0.000,0.000,0.0,245.490
0.226,1.000,0.000,0.000,0.0,244.400
0.228,1.000,0.000,0.000,0.0,245.080
0.228,1.000,0.000,0.000,0.0,244.380
0.226,1.000,0.000,0.000,0.0,243.510
1.136,6.000,0.212,0.000,0.0,242.630
1.068,5.600,0.168,0.000,0.0,243.060
0.226,1.000,0.000,0.000,0.0,243.950
0.226,1.000,0.000,0.000,0.0,243.310
0.226,1.000,0.000,0.000,0.0,244.170
0.226,1.000,0.000,0.000,0.0,243.880
0.226,1.000,0.000,0.000,0.0,244.260
0.226,1.000,0.000,0.000,0.0,244.330
0.324,1.400,0.090,0.000,0.0,243.270
0.336,1.400,0.122,0.000,0.0,243.510
0.330,1.400,0.120,0.000,0.0,242.780
0.330,1.400,0.122,0.000,0.0,243.400
0.330,1.400,0.126,0.000,0.0,244.430
0.332,1.400,0.128,0.000,0.0,244.720
0.326,1.400,0.126,0.000,0.0,244.080
0.326,1.400,0.126,0.000,0.0,244.300
0.324,1.400,0.122,0.000,0.0,243.550
1.494,6.400,0.106,0.000,0.0,242.810
0.538,3.000,0.120,0.000,0.0,243.730
0.324,1.400,0.122,0.000,0.0,243.650
0.326,1.400,0.122,0.000,0.0,243.890
0.334,1.400,0.122,0.000,0.0,243.720
0.320,1.400,0.084,0.000,0.0,244.950
0.374,2.000,0.112,1.000,0.0,242.310
1.194,5.600,0.114,1.000,0.0,241.540
0.310,1.400,0.104,2.000,0.0,241.660
0.310,1.400,0.106,1.000,0.0,242.030
0.310,1.400,0.106,2.000,0.0,242.060
0.310,1.400,0.108,1.000,0.0,242.310
0.340,1.600,0.126,2.000,0.0,241.960
0.380,1.800,0.206,1.000,0.0,241.110
0.382,1.800,0.208,1.000,0.0,241.370
0.388,1.800,0.208,2.000,0.0,241.720
0.380,1.800,0.206,1.000,0.0,241.250
0.388,1.800,0.210,2.000,0.0,242.240
0.380,1.800,0.210,1.000,0.0,242.040
0.636,3.000,0.300,1.000,0.0,241.590
0.874,4.600,0.404,5.000,0.0,241.440
2.634,11.000,0.278,38.000,0.0,239.810
2.096,9.600,0.284,31.000,0.0,240.520
2.614,10.800,0.266,37.000,0.0,240.020
2.222,9.800,0.288,33.000,0.0,240.790
2.480,10.600,0.264,34.000,0.0,240.370
2.624,10.800,0.288,38.000,0.0,240.720
2.602,10.800,0.266,38.000,0.0,240.310
2.604,10.800,0.284,38.000,0.0,239.980
2.586,10.800,0.262,38.000,0.0,239.690
2.552,10.600,0.208,38.000,0.0,239.580
2.516,10.400,0.146,36.000,0.0,239.920
2.542,10.600,0.170,37.000,0.0,240.740
2.540,10.400,0.154,37.000,0.0,241.340
2.554,10.600,0.174,37.000,0.0,241.460
2.492,10.200,0.086,37.000,0.0,241.190
2.454,10.200,0.000,37.000,0.0,241.030
2.452,10.000,0.000,37.000,0.0,241.530
2.466,10.200,0.000,38.000,0.0,241.670
2.434,10.000,0.000,36.000,0.0,240.530
2.454,10.200,0.000,38.000,0.0,240.950
2.442,10.000,0.000,36.000,0.0,240.890
2.442,10.000,0.000,37.000,0.0,240.310
2.418,10.000,0.000,37.000,0.0,239.600
2.438,10.000,0.000,37.000,0.0,240.150
2.430,10.000,0.000,36.000,0.0,240.310
2.452,10.000,0.000,37.000,0.0,240.840
2.048,8.800,0.000,32.000,0.0,241.220
1.438,6.200,0.000,19.000,0.0,241.360
2.430,10.000,0.000,37.000,0.0,240.320
2.440,10.000,0.000,37.000,0.0,240.220
2.310,9.600,0.000,35.000,0.0,240.330
1.238,5.000,0.050,17.000,0.0,242.300
2.384,9.800,0.000,35.000,0.0,241.030
2.364,9.800,0.000,37.000,0.0,240.890
1.226,5.000,0.000,17.000,0.0,242.170
2.364,9.800,0.000,34.000,0.0,241.320
2.020,8.600,0.000,31.000,0.0,241.230
1.472,6.400,0.048,20.000,0.0,242.140
2.436,10.000,0.000,37.000,0.0,240.620
1.506,6.800,0.000,22.000,0.0,241.940
1.988,8.600,0.112,27.000,0.0,241.380
2.028,9.200,0.164,28.000,0.0,241.160
1.728,7.400,0.162,25.000,0.0,242.040
1.612,7.600,0.262,18.000,0.0,242.350
2.304,9.800,0.260,33.000,0.0,241.680
1.330,6.000,0.290,15.000,0.0,243.330
2.464,10.400,0.262,35.000,0.0,242.180
1.182,5.200,0.284,13.000,0.0,242.330
2.396,10.200,0.256,34.000,0.0,241.100
0.900,4.200,0.290,9.000,0.0,242.830
0.602,2.600,0.280,3.000,0.0,243.030
0.512,2.200,0.188,4.000,0.0,242.890
0.534,2.200,0.180,3.000,0.0,242.970
0.510,2.200,0.190,4.000,0.0,243.440
0.496,2.000,0.126,3.000,0.0,243.630
0.428,1.800,0.052,4.000,0.0,242.750
0.426,1.800,0.000,3.000,0.0,243.270
0.324,1.400,0.000,2.000,0.0,243.210
0.222,1.000,0.000,0.000,0.0,242.680
1.308,5.400,0.000,0.000,16.0,241.720
1.328,5.400,0.000,0.000,18.0,241.210
1.338,5.400,0.000,1.000,18.0,241.790
1.308,5.400,0.000,0.000,18.0,241.650
1.330,5.400,0.000,0.000,19.0,242.380
1.314,5.400,0.000,0.000,18.0,242.850
1.332,5.400,0.000,0.000,18.0,242.940
1.308,5.400,0.000,0.000,18.0,242.560
1.326,5.400,0.000,1.000,18.0,242.460
1.312,5.400,0.000,0.000,18.0,242.680
1.328,5.400,0.000,0.000,18.0,243.200
1.328,5.400,0.000,0.000,18.0,242.940
1.304,5.400,0.000,0.000,18.0,242.350
1.330,5.400,0.000,1.000,18.0,243.110
1.330,5.400,0.000,0.000,19.0,244.470
1.366,5.400,0.000,0.000,18.0,245.680
1.344,5.400,0.000,0.000,19.0,245.550
1.360,5.400,0.000,0.000,18.0,245.330
1.342,5.400,0.000,0.000,18.0,245.540
1.340,5.400,0.000,1.000,19.0,243.450
1.320,5.400,0.000,0.000,18.0,243.520
1.422,5.800,0.076,0.000,18.0,242.760
1.420,5.800,0.110,0.000,18.0,242.760
2.244,10.600,0.110,0.000,18.0,242.490
4.216,17.400,0.082,0.000,17.0,239.970
4.248,17.600,0.088,1.000,18.0,240.450
2.972,13.800,0.210,1.000,18.0,239.400
1.530,6.400,0.234,2.000,18.0,241.600
1.560,6.400,0.232,1.000,18.0,242.450
1.574,6.600,0.234,2.000,17.0,241.820
1.552,6.400,0.230,2.000,18.0,241.780
1.572,6.600,0.236,1.000,18.0,242.230
1.556,6.400,0.234,2.000,18.0,242.560
1.580,6.600,0.246,2.000,18.0,243.780
1.558,6.400,0.242,1.000,19.0,243.930
1.502,6.200,0.136,2.000,18.0,243.450
1.454,6.000,0.098,1.000,18.0,243.080
1.468,6.000,0.102,2.000,18.0,242.690
1.508,6.200,0.166,1.000,18.0,242.350
1.538,6.400,0.210,2.000,18.0,242.650
1.102,5.000,0.208,1.000,12.0,242.520
0.446,2.000,0.222,2.000,0.0,243.910
0.452,2.200,0.228,1.000,0.0,244.510
0.436,2.000,0.224,2.000,0.0,244.620
0.454,2.200,0.226,1.000,0.0,244.100
0.428,2.000,0.218,2.000,0.0,243.720
0.392,1.800,0.138,1.000,0.0,243.330
0.354,1.600,0.106,2.000,0.0,242.360
0.374,1.600,0.110,1.000,0.0,242.480
0.352,1.600,0.106,1.000,0.0,242.650
0.356,1.600,0.082,2.000,0.0,242.950
0.282,1.200,0.000,0.000,0.0,243.830
0.302,1.400,0.000,0.000,0.0,244.320
0.284,1.200,0.000,0.000,0.0,245.020
0.298,1.400,0.000,0.000,0.0,242.830
0.282,1.200,0.000,0.000,0.0,243.280
0.302,1.400,0.000,1.000,0.0,243.540
0.290,1.400,0.000,0.000,0.0,243.080
0.508,2.200,0.066,3.000,0.0,243.710
0.488,2.000,0.000,4.000,0.0,242.570
0.500,2.000,0.058,4.000,0.0,242.420
0.614,2.600,0.188,3.000,0.0,243.380
0.614,2.600,0.204,4.000,0.0,244.030
0.598,2.600,0.188,3.000,0.0,243.970
0.606,2.600,0.198,4.000,0.0,243.540
0.592,2.600,0.178,3.000,0.0,243.120
0.384,1.800,0.116,1.000,0.0,242.370
0.400,1.800,0.118,0.000,0.0,241.890
0.382,1.800,0.124,0.000,0.0,244.120
0.362,1.600,0.130,0.000,0.0,244.700
0.320,1.400,0.128,0.000,0.0,245.190
0.338,1.600,0.136,1.000,0.0,245.900
0.336,1.400,0.134,0.000,0.0,246.360
0.400,1.800,0.134,0.000,0.0,245.840
0.378,1.600,0.126,0.000,0.0,245.080
0.324,1.400,0.000,0.000,0.0,244.160
0.280,1.200,0.000,0.000,0.0,243.850
0.300,1.200,0.000,1.000,0.0,242.730
0.278,1.200,0.000,0.000,0.0,242.600
0.276,1.200,0.000,0.000,0.0,243.320
0.236,1.000,0.000,0.000,0.0,244.250
0.262,1.200,0.000,0.000,0.0,244.650
0.242,1.000,0.000,0.000,0.0,244.710
0.260,1.200,0.000,1.000,0.0,244.160
0.242,1.000,0.000,0.000,0.0,244.860
0.260,1.200,0.000,0.000,0.0,244.170
0.240,1.000,0.000,0.000,0.0,243.340
0.258,1.200,0.000,0.000,0.0,243.040
0.240,1.000,0.000,0.000,0.0,243.860
0.240,1.000,0.000,1.000,0.0,242.930
0.218,1.000,0.000,0.000,0.0,243.800
0.240,1.000,0.000,0.000,0.0,244.680
0.220,1.000,0.000,0.000,0.0,245.030
0.322,1.600,0.084,0.000,0.0,244.990
0.306,1.400,0.098,0.000,0.0,245.540
0.312,1.400,0.100,1.000,0.0,245.500
0.372,1.800,0.100,0.000,0.0,242.720
0.506,2.400,0.094,0.000,0.0,241.460
0.536,2.600,0.098,0.000,0.0,241.810
0.514,2.400,0.090,0.000,0.0,241.500
0.570,2.800,0.150,1.000,0.0,241.900
0.550,2.600,0.150,0.000,0.0,241.760
0.412,2.000,0.124,0.000,0.0,241.960
0.320,1.400,0.114,0.000,0.0,241.840
0.338,1.400,0.118,0.000,0.0,241.810
0.316,1.400,0.112,0.000,0.0,241.070
0.332,1.400,0.112,1.000,0.0,240.330
0.314,1.400,0.112,0.000,0.0,241.370
0.334,1.400,0.118,0.000,0.0,241.790
0.314,1.400,0.114,0.000,0.0,241.900
0.332,1.400,0.120,0.000,0.0,242.110
0.312,1.400,0.114,0.000,0.0,242.170
0.332,1.400,0.120,1.000,0.0,242.140
0.312,1.400,0.116,0.000,0.0,242.350
0.332,1.400,0.124,0.000,0.0,242.710
0.228,1.000,0.000,0.000,0.0,242.990
0.236,1.000,0.000,0.000,0.0,241.800
0.216,1.000,0.000,0.000,0.0,241.640
0.244,1.000,0.000,1.000,0.0,242.080
0.324,1.400,0.000,0.000,0.0,242.020
0.390,1.600,0.000,0.000,0.0,241.890
0.516,2.200,0.000,0.000,0.0,241.590
0.324,1.400,0.000,0.000,0.0,242.410
0.218,1.000,0.000,0.000,0.0,242.080
0.238,1.000,0.000,0.000,0.0,242.520
0.228,1.000,0.000,0.000,0.0,242.100
0.228,1.000,0.000,1.000,0.0,242.400
0.238,1.000,0.000,0.000,0.0,242.150
0.220,1.000,0.000,0.000,0.0,242.820
0.238,1.000,0.000,0.000,0.0,242.520
0.218,1.000,0.000,0.000,0.0,243.200
0.238,1.000,0.000,1.000,0.0,242.810
0.220,1.000,0.000,0.000,0.0,243.570
0.238,1.000,0.000,0.000,0.0,243.270
1.148,5.000,0.000,0.000,13.0,242.450
1.354,5.600,0.000,0.000,19.0,242.000
1.314,5.400,0.000,0.000,18.0,241.300
1.326,5.400,0.000,1.000,18.0,241.570
1.300,5.400,0.000,0.000,18.0,241.270
1.324,5.400,0.000,0.000,18.0,241.560
1.372,5.600,0.000,0.000,18.0,241.060
1.426,5.800,0.106,0.000,18.0,241.490
1.400,5.800,0.102,0.000,18.0,241.630
1.432,5.800,0.112,1.000,18.0,242.890
1.408,5.800,0.106,0.000,18.0,242.640
1.416,5.800,0.108,0.000,18.0,241.640
1.382,5.600,0.098,0.000,18.0,240.640
1.444,6.000,0.142,0.000,17.0,240.630
1.436,6.000,0.208,0.000,18.0,240.950
1.454,6.000,0.212,1.000,18.0,240.780
1.504,6.400,0.290,1.000,18.0,240.970
1.598,6.600,0.342,2.000,18.0,241.700
1.528,6.400,0.340,1.000,17.0,242.020
1.550,6.400,0.344,2.000,18.0,241.900
1.496,6.200,0.288,1.000,18.0,241.550
1.508,6.200,0.182,2.000,18.0,241.000
1.498,6.200,0.094,1.000,18.0,240.470
1.358,5.600,0.094,2.000,17.0,240.550
1.370,5.600,0.096,2.000,18.0,240.280
1.346,5.600,0.090,1.000,18.0,239.950
1.362,5.600,0.094,2.000,17.0,239.710
1.352,5.600,0.092,1.000,18.0,240.740
1.370,5.600,0.098,2.000,18.0,240.690
1.350,5.600,0.092,1.000,18.0,240.690
1.358,5.600,0.094,2.000,17.0,239.680
1.328,5.400,0.086,1.000,18.0,238.830
1.344,5.600,0.088,2.000,17.0,238.600
1.316,5.400,0.082,1.000,17.0,237.850
1.336,5.600,0.086,2.000,18.0,238.060
1.320,5.400,0.084,1.000,17.0,238.330
1.336,5.600,0.088,2.000,18.0,238.230
1.316,5.400,0.084,1.000,17.0,238.230
1.336,5.600,0.088,1.000,17.0,238.330
1.328,5.400,0.086,2.000,18.0,239.380
1.328,5.400,0.064,1.000,17.0,239.080
1.246,5.200,0.000,0.000,18.0,238.320
1.264,5.200,0.000,0.000,17.0,238.340
1.248,5.200,0.000,0.000,18.0,238.690
1.268,5.200,0.000,1.000,17.0,238.720
1.250,5.200,0.000,0.000,18.0,238.840
1.382,5.800,0.090,0.000,17.0,238.790
1.368,5.600,0.088,0.000,17.0,238.300
1.384,5.800,0.092,0.000,18.0,238.190
1.364,5.600,0.086,0.000,17.0,238.270
1.380,5.800,0.090,1.000,18.0,237.990
1.360,5.600,0.086,0.000,17.0,237.780
1.364,5.600,0.088,0.000,17.0,237.330
1.376,5.800,0.092,0.000,18.0,238.400
1.360,5.600,0.090,0.000,17.0,238.390
1.382,5.800,0.092,0.000,17.0,238.230
1.620,6.800,0.084,0.000,18.0,238.250
1.512,6.200,0.090,1.000,17.0,238.240
1.466,6.000,0.086,0.000,18.0,238.720
1.530,6.400,0.092,0.000,17.0,239.010
1.516,6.400,0.000,0.000,17.0,238.310
1.308,5.400,0.000,0.000,18.0,239.140
1.272,5.200,0.000,0.000,17.0,239.440
1.270,5.200,0.000,1.000,18.0,237.980
0.266,1.200,0.000,0.000,1.0,237.720
0.306,1.400,0.000,0.000,0.0,237.460
0.206,0.800,0.000,0.000,0.0,237.020
0.252,1.200,0.000,0.000,0.0,236.790
0.314,1.400,0.000,0.000,0.0,236.330
0.478,2.200,0.054,1.000,0.0,235.470
0.448,1.800,0.054,0.000,0.0,234.670
0.470,2.000,0.062,0.000,0.0,235.680
0.450,1.800,0.058,0.000,0.0,235.670
0.682,3.600,0.198,0.000,0.0,234.630
1.276,6.200,0.534,0.000,0.0,234.110
1.278,6.200,0.532,1.000,0.0,233.790
1.256,6.000,0.528,0.000,0.0,234.020
1.174,5.800,0.404,0.000,0.0,234.130
0.370,1.600,0.000,0.000,0.0,235.870
0.450,2.000,0.000,0.000,0.0,235.670
0.532,2.200,0.046,0.000,0.0,235.870
1.068,5.000,0.048,1.000,6.0,234.520
1.588,6.800,0.054,0.000,18.0,234.380
1.574,6.600,0.054,0.000,17.0,234.100
1.572,6.600,0.052,0.000,17.0,234.010
1.592,6.800,0.000,0.000,17.0,234.660
1.764,7.400,0.068,1.000,17.0,234.060
1.756,7.400,0.064,0.000,17.0,234.010
1.778,7.600,0.068,0.000,17.0,234.480
1.760,7.400,0.076,0.000,17.0,234.220
1.780,7.600,0.092,0.000,16.0,233.860
1.768,7.400,0.090,0.000,17.0,234.530
1.784,7.600,0.086,1.000,17.0,234.940
1.764,7.400,0.068,0.000,17.0,235.530
1.782,7.400,0.072,0.000,17.0,235.570
1.796,7.600,0.068,0.000,17.0,235.430
1.834,7.800,0.072,0.000,17.0,235.280
1.596,6.800,0.128,0.000,17.0,235.110
1.698,7.200,0.284,1.000,17.0,235.800
1.926,8.200,0.270,0.000,17.0,235.140
2.412,10.400,0.176,0.000,17.0,234.050
2.684,11.400,0.126,0.000,17.0,233.410
2.878,12.200,0.126,0.000,16.0,233.130
2.792,11.800,0.126,0.000,17.0,233.300
2.816,12.000,0.132,0.000,17.0,233.480
2.798,12.000,0.130,0.000,17.0,233.610
2.820,12.000,0.134,1.000,16.0,233.720
3.102,13.400,0.344,0.000,17.0,234.790
3.584,15.600,0.688,0.000,17.0,234.160
3.504,15.400,0.664,0.000,17.0,232.490
3.534,15.400,0.660,0.000,16.0,233.530
3.092,13.400,0.338,0.000,17.0,233.730
2.846,12.000,0.142,1.000,17.0,234.980
2.828,12.000,0.138,0.000,17.0,234.430
2.890,12.200,0.138,0.000,17.0,234.460
2.868,12.200,0.138,0.000,17.0,234.120
2.802,12.000,0.134,0.000,16.0,233.760
2.820,12.000,0.138,1.000,17.0,233.720
2.804,12.000,0.134,0.000,17.0,233.820
2.864,12.200,0.134,0.000,17.0,233.140
2.804,12.000,0.136,0.000,16.0,233.880
2.828,12.000,0.140,0.000,17.0,234.060
2.550,10.800,0.000,0.000,17.0,234.820
2.490,10.600,0.000,1.000,17.0,233.780
2.390,10.200,0.000,0.000,17.0,234.220
2.496,10.600,0.114,0.000,16.0,233.640
2.618,11.200,0.182,0.000,17.0,234.080
2.508,10.600,0.170,0.000,17.0,233.840
2.490,10.600,0.166,0.000,17.0,234.110
2.774,12.000,0.278,1.000,17.0,233.990
2.496,10.600,0.170,0.000,16.0,234.770
2.488,10.600,0.136,0.000,17.0,234.840
2.466,10.400,0.072,0.000,17.0,235.190
2.440,10.400,0.076,0.000,17.0,234.770
2.436,10.400,0.078,0.000,17.0,234.320
2.428,10.200,0.074,1.000,17.0,234.500
2.414,10.200,0.072,0.000,17.0,234.830
2.426,10.200,0.074,0.000,17.0,234.380
2.422,10.200,0.074,0.000,17.0,235.270
2.432,10.200,0.076,0.000,17.0,234.750
2.374,10.000,0.000,0.000,16.0,234.490
2.384,10.000,0.048,1.000,17.0,234.390
2.348,10.000,0.056,0.000,17.0,233.410
3.640,16.000,0.402,0.000,16.0,232.290
3.810,16.600,0.530,2.000,17.0,231.870
3.804,16.600,0.526,1.000,17.0,232.460
3.788,16.600,0.522,2.000,16.0,231.840
3.778,16.400,0.516,1.000,17.0,232.250
2.678,11.600,0.136,2.000,16.0,234.350
2.542,10.800,0.060,2.000,17.0,234.760
2.546,10.800,0.062,1.000,17.0,234.090
2.634,11.200,0.056,2.000,17.0,233.900
2.684,11.400,0.062,1.000,17.0,234.650
2.638,11.200,0.054,2.000,16.0,233.220
2.656,11.400,0.058,1.000,17.0,233.180
2.714,11.600,0.052,2.000,17.0,233.050
2.774,11.800,0.058,1.000,17.0,233.750
2.760,11.800,0.054,2.000,16.0,234.070
2.772,11.800,0.058,1.000,17.0,233.760
2.710,11.600,0.054,2.000,17.0,233.750
2.550,10.800,0.060,1.000,17.0,233.250
1.984,8.400,0.052,2.000,16.0,233.350
1.908,8.200,0.052,1.000,17.0,233.110
1.796,7.600,0.050,1.000,17.0,233.630
1.744,7.400,0.056,2.000,16.0,233.610
1.810,7.800,0.140,1.000,17.0,233.450
1.852,7.800,0.180,2.000,17.0,233.830
1.828,7.800,0.176,1.000,17.0,233.890
1.796,7.600,0.088,0.000,16.0,234.490
1.754,7.400,0.062,0.000,17.0,233.740
1.780,7.600,0.066,1.000,17.0,233.720
1.926,8.200,0.062,0.000,17.0,234.050
1.884,8.000,0.064,0.000,17.0,233.570
1.766,7.400,0.064,0.000,16.0,234.160
1.762,7.400,0.064,0.000,17.0,233.360
1.766,7.400,0.066,1.000,17.0,233.500
1.758,7.400,0.062,0.000,17.0,234.150
1.806,7.600,0.076,0.000,16.0,235.130
1.834,7.800,0.164,0.000,17.0,234.960
1.818,7.800,0.132,0.000,17.0,234.270
1.724,7.400,0.000,0.000,17.0,233.610
1.748,7.400,0.000,1.000,17.0,233.930
1.726,7.400,0.000,0.000,17.0,233.790
1.742,7.400,0.000,0.000,16.0,233.570
1.730,7.400,0.000,0.000,17.0,234.090
1.754,7.400,0.000,0.000,17.0,234.030
1.696,7.200,0.000,0.000,17.0,234.470
1.712,7.200,0.052,1.000,17.0,236.100
1.688,7.000,0.056,0.000,17.0,235.820
1.936,8.200,0.000,0.000,17.0,234.910
1.892,8.000,0.000,0.000,17.0,235.820
1.694,7.200,0.054,0.000,17.0,235.400
1.748,7.400,0.066,0.000,17.0,236.070
1.956,8.200,0.126,1.000,17.0,234.790
1.900,8.000,0.108,0.000,17.0,233.910
1.864,8.000,0.106,0.000,16.0,233.370
1.848,7.800,0.102,0.000,17.0,233.490
1.898,8.000,0.114,0.000,17.0,235.540
1.844,7.800,0.068,0.000,17.0,235.900
2.286,9.600,0.050,1.000,17.0,236.040
2.598,11.000,0.056,0.000,17.0,236.110
2.142,9.000,0.048,0.000,17.0,236.700
1.884,8.000,0.000,0.000,17.0,234.840
2.128,9.000,0.000,0.000,17.0,234.180
2.230,9.400,0.000,0.000,17.0,233.900
2.320,9.800,0.134,1.000,17.0,233.800
2.332,10.000,0.136,0.000,16.0,234.100
2.320,9.800,0.134,0.000,17.0,234.740
2.334,10.000,0.138,0.000,17.0,234.570
2.316,9.800,0.136,0.000,17.0,234.780
2.328,9.800,0.138,1.000,17.0,234.410
2.318,9.800,0.134,0.000,17.0,235.000
2.330,9.800,0.138,0.000,17.0,234.600
2.448,10.400,0.128,0.000,16.0,233.500
2.514,10.800,0.132,0.000,17.0,233.390
2.292,9.800,0.130,0.000,17.0,233.680
2.216,9.400,0.134,0.000,17.0,233.430
2.018,8.600,0.142,0.000,16.0,234.760
2.068,8.800,0.162,1.000,17.0,235.320
2.136,9.000,0.082,0.000,17.0,234.560
1.778,7.800,0.000,0.000,10.0,234.480
1.246,5.200,0.000,0.000,0.0,236.440
1.138,4.800,0.000,0.000,0.0,236.340
1.108,4.800,0.000,0.000,0.0,234.800
1.136,4.800,0.000,1.000,0.0,235.970
1.126,4.800,0.000,0.000,0.0,237.330
1.146,4.800,0.046,0.000,0.0,237.270
1.128,4.800,0.000,0.000,0.0,238.140
1.150,4.800,0.050,0.000,0.0,238.490
1.126,4.800,0.046,0.000,0.0,238.080
1.170,5.000,0.048,1.000,0.0,238.000
3.210,15.000,0.092,0.000,0.0,236.190
4.454,19.000,0.200,0.000,0.0,234.480
4.242,18.000,0.226,0.000,0.0,234.160
4.246,18.000,0.230,0.000,0.0,234.500
4.340,18.400,0.286,0.000,0.0,234.590
4.340,18.600,0.350,1.000,0.0,234.390
4.414,18.800,0.384,0.000,0.0,234.500
5.854,25.400,0.572,0.000,0.0,232.590
5.406,23.400,0.512,0.000,0.0,233.130
4.600,19.600,0.540,0.000,0.0,234.990
4.620,19.600,0.502,1.000,0.0,235.810
4.532,19.200,0.424,0.000,0.0,235.110
3.388,15.000,0.614,0.000,0.0,235.770
3.790,16.400,0.586,0.000,0.0,233.570
3.962,17.200,0.568,0.000,0.0,233.860
5.614,24.400,0.424,0.000,0.0,230.040
5.296,23.200,0.346,1.000,0.0,228.910
4.232,19.000,0.332,0.000,0.0,231.210
1.938,8.400,0.254,0.000,0.0,233.980
1.748,7.600,0.238,0.000,0.0,232.690
1.764,7.600,0.242,0.000,0.0,232.610
1.756,7.600,0.238,0.000,0.0,233.670
1.770,7.600,0.240,1.000,0.0,233.230
1.748,7.400,0.234,0.000,0.0,233.130
1.770,7.600,0.238,0.000,0.0,233.400
1.724,7.400,0.192,0.000,0.0,233.730
1.678,7.200,0.112,0.000,0.0,233.240
1.660,7.000,0.108,0.000,0.0,233.440
1.670,7.200,0.112,1.000,0.0,232.560
1.666,7.000,0.110,0.000,0.0,233.470
1.692,7.200,0.112,0.000,0.0,233.630
1.674,7.200,0.108,0.000,0.0,233.480
1.704,7.200,0.114,0.000,0.0,234.450
1.680,7.200,0.108,0.000,0.0,234.160
1.702,7.200,0.114,1.000,0.0,234.650
1.670,7.000,0.106,0.000,0.0,234.260
1.628,6.800,0.094,0.000,0.0,234.890
1.644,7.000,0.098,0.000,0.0,234.680
1.622,6.800,0.094,0.000,0.0,234.650
1.656,7.000,0.098,1.000,0.0,235.890
1.634,6.800,0.094,0.000,0.0,235.710
1.660,7.000,0.098,0.000,0.0,236.450
1.694,7.200,0.094,0.000,0.0,236.630
1.926,8.000,0.090,0.000,0.0,235.830
1.688,7.000,0.092,0.000,0.0,235.890
1.722,7.200,0.198,1.000,0.0,235.980
1.720,7.200,0.212,2.000,0.0,236.150
1.788,7.600,0.290,1.000,0.0,235.610
2.128,9.200,0.382,1.000,0.0,234.820
2.224,9.600,0.444,2.000,0.0,234.720
2.240,9.600,0.452,1.000,0.0,236.120
2.142,9.200,0.392,2.000,0.0,236.860
2.116,9.200,0.310,1.000,0.0,236.140
3.086,13.200,0.300,1.000,18.0,235.390
3.328,14.200,0.294,2.000,17.0,234.960
3.008,12.800,0.300,1.000,18.0,234.970
2.814,12.000,0.294,1.000,17.0,234.380
3.166,13.600,0.334,2.000,17.0,232.560
2.682,11.800,0.304,1.000,16.0,233.730
2.152,9.200,0.254,1.000,17.0,233.280
2.164,9.200,0.258,2.000,17.0,233.970
2.198,9.400,0.264,1.000,17.0,235.730
2.402,10.200,0.262,1.000,17.0,236.010
2.424,10.200,0.260,1.000,17.0,235.860
2.400,10.200,0.176,2.000,17.0,236.410
2.268,9.600,0.138,1.000,17.0,236.720
2.224,9.400,0.140,1.000,18.0,236.810
2.240,9.400,0.138,1.000,17.0,236.040
2.314,9.800,0.140,2.000,17.0,236.560
1.912,8.000,0.078,0.000,17.0,236.850
1.858,7.800,0.000,0.000,17.0,237.070
1.868,7.800,0.000,0.000,18.0,237.720
1.934,8.000,0.000,0.000,17.0,237.290
1.974,8.200,0.000,0.000,17.0,237.410
1.982,8.200,0.000,0.000,18.0,237.950
1.986,8.200,0.000,0.000,17.0,238.250
1.980,8.200,0.000,0.000,17.0,237.910
1.978,8.200,0.000,0.000,18.0,237.740
1.918,8.000,0.000,0.000,17.0,236.630
1.864,7.800,0.000,0.000,17.0,237.010
1.876,7.800,0.000,0.000,17.0,237.760
1.890,7.800,0.000,0.000,18.0,238.700
1.884,7.800,0.000,0.000,17.0,238.320
1.878,7.800,0.000,0.000,17.0,237.880
